slug,start,end,truth
lord-miles-completes-40-day-water-fast-in-the-dessert,0.24,0.2383333333333333,0.0
will-bitcoin-reach-125k-in-july-846-114,0.24,0.2333333333333333,0.0
will-the-supreme-court-rule-in-favor-of-trumps-tariffs,0.265,0.30833333333333335,0.0
katy-perry-and-justin-trudeau-confirmed-relationship-by-october-31,0.325,0.31333333333333335,0.0
nfl-bal-buf-2025-09-07,0.5266666666666667,0.52,0.0
will-microstrategy-purchase-bitcoin-august-26-september-1,0.835,0.8316666666666667,0.0
will-trump-deploy-national-guard-in-dc-by-monday,0.5,0.23666666666666666,1.0
btc-above-100k-till-2025-end,0.5533333333333333,0.5683333333333334,1.0
tesla-launches-unsupervised-full-self-driving-fsd-by-october-31-717-337,0.64,0.6433333333333334,1.0
nfl-kc-nyg-2025-09-21,0.725,0.7283333333333334,1.0
